time,data
1678,3.06444
1679,3.06878
1680,3.07314
1681,3.0775
1682,3.08188
1683,3.08627
1684,3.09067
1685,3.09508
1686,3.09951
1687,3.10394
1688,3.10839
1689,3.11286
1690,3.11733
1691,3.12182
1692,3.12632
1693,3.13083
1694,3.13531
1695,3.13981
1696,3.14431
1697,3.14883
1698,3.15337
1699,3.15791
1700,3.16247
1701,3.16704
1702,3.17162
1703,3.17622
1704,3.18082
1705,3.18544
1706,3.19007
1707,3.19471
1708,3.19936
1709,3.20402
1710,3.20869
1711,3.21337
1712,3.21805
1713,3.22274
1714,3.22744
1715,3.23213
1716,3.23683
1717,3.24152
1718,3.24621
1719,3.25089
1720,3.25556
1721,3.26021
1722,3.26483
1723,3.26942
1724,3.27398
1725,3.27848
1726,3.28292
1727,3.28729
1728,3.29158
1729,3.29576
1730,3.29984
1731,3.30381
1732,3.30767
1733,3.31143
1734,3.31511
1735,3.31871
1736,3.32226
1737,3.32576
1738,3.32922
1739,3.33265
1740,3.33605
1741,3.33944
1742,3.34282
1743,3.34619
1744,3.34956
1745,3.35292
1746,3.35629
1747,3.35966
1748,3.36303
1749,3.36641
1750,3.3698
1751,3.3732
1752,3.37661
1753,3.38003
1754,3.38346
1755,3.3869
1756,3.39035
1757,3.39382
1758,3.39731
1759,3.4008
1760,3.40431
1761,3.40783
1762,3.41137
1763,3.41493
1764,3.41849
1765,3.42207
1766,3.42567
1767,3.42928
1768,3.43291
1769,3.43655
1770,3.4402
1771,3.44387
1772,3.44755
1773,3.45125
1774,3.45497
1775,3.45869
1776,3.46244
1777,3.46619
1778,3.46996
1779,3.47375
1780,3.47756
1781,3.48137
1782,3.48521
1783,3.48905
1784,3.49291
1785,3.49679
1786,3.50068
1787,3.50458
1788,3.5085
1789,3.51243
1790,3.51639
1791,3.52036
1792,3.52434
1793,3.52834
1794,3.53235
1795,3.53637
1796,3.54041
1797,3.54446
1798,3.54853
1799,3.55261
1800,3.5567
1801,3.56081
1802,3.56493
1803,3.56906
1804,3.57321
1805,3.57738
1806,3.58155
1807,3.58574
1808,3.58994
1809,3.59416
1810,3.59839
1811,3.60264
1812,3.6069
1813,3.61117
1814,3.61545
1815,3.61975
1816,3.62406
1817,3.62839
1818,3.63273
1819,3.63708
1820,3.64145
1821,3.64583
